title,context,question,answer,answer_start,answer_end
Videoconferencing,"It was only in the 1980s that digital telephony transmission networks became possible, such as with ISDN networks, assuring a minimum bit rate (usually 128 kilobits/s) for compressed video and audio transmission. During this time, there was also research into other forms of digital video and audio communication. Many of these technologies, such as the Media space, are not as widely used today as videoconferencing but were still an important area of research. The first dedicated systems started to appear in the market as ISDN networks were expanding throughout the world. One of the first commercial videoconferencing systems sold to companies came from PictureTel Corp., which had an Initial Public Offering in November, 1984.",In what decade was digital telephony transmission made possible?,the 1980s,15,24
Videoconferencing,"It was only in the 1980s that digital telephony transmission networks became possible, such as with ISDN networks, assuring a minimum bit rate (usually 128 kilobits/s) for compressed video and audio transmission. During this time, there was also research into other forms of digital video and audio communication. Many of these technologies, such as the Media space, are not as widely used today as videoconferencing but were still an important area of research. The first dedicated systems started to appear in the market as ISDN networks were expanding throughout the world. One of the first commercial videoconferencing systems sold to companies came from PictureTel Corp., which had an Initial Public Offering in November, 1984.",What is the minimum bit rate for compressed video and audio transmission?,128 kilobits/s,152,166
Videoconferencing,"It was only in the 1980s that digital telephony transmission networks became possible, such as with ISDN networks, assuring a minimum bit rate (usually 128 kilobits/s) for compressed video and audio transmission. During this time, there was also research into other forms of digital video and audio communication. Many of these technologies, such as the Media space, are not as widely used today as videoconferencing but were still an important area of research. The first dedicated systems started to appear in the market as ISDN networks were expanding throughout the world. One of the first commercial videoconferencing systems sold to companies came from PictureTel Corp., which had an Initial Public Offering in November, 1984.",What is an example of an early form of digital video and audio communication?,the Media space,350,365
Videoconferencing,"It was only in the 1980s that digital telephony transmission networks became possible, such as with ISDN networks, assuring a minimum bit rate (usually 128 kilobits/s) for compressed video and audio transmission. During this time, there was also research into other forms of digital video and audio communication. Many of these technologies, such as the Media space, are not as widely used today as videoconferencing but were still an important area of research. The first dedicated systems started to appear in the market as ISDN networks were expanding throughout the world. One of the first commercial videoconferencing systems sold to companies came from PictureTel Corp., which had an Initial Public Offering in November, 1984.",In what form did the first dedicated videoconferencing system appear as?,ISDN networks,526,539
Videoconferencing,"It was only in the 1980s that digital telephony transmission networks became possible, such as with ISDN networks, assuring a minimum bit rate (usually 128 kilobits/s) for compressed video and audio transmission. During this time, there was also research into other forms of digital video and audio communication. Many of these technologies, such as the Media space, are not as widely used today as videoconferencing but were still an important area of research. The first dedicated systems started to appear in the market as ISDN networks were expanding throughout the world. One of the first commercial videoconferencing systems sold to companies came from PictureTel Corp., which had an Initial Public Offering in November, 1984.",What company offered the first commercial videoconferencing system?,PictureTel Corp.,659,675
Everton_F.C.,"Everton were founder members of the Premier League in 1992, but struggled to find the right manager. Howard Kendall had returned in 1990 but could not repeat his previous success, while his successor, Mike Walker, was statistically the least successful Everton manager to date. When former Everton player Joe Royle took over in 1994 the club's form started to improve; his first game in charge was a 2–0 victory over derby rivals Liverpool. Royle dragged Everton clear of relegation, leading the club to the FA Cup for the fifth time in its history, defeating Manchester United 1–0 in the final.",When was Everton admitted as a member of the Premier League?,1992,54,58
Everton_F.C.,"Everton were founder members of the Premier League in 1992, but struggled to find the right manager. Howard Kendall had returned in 1990 but could not repeat his previous success, while his successor, Mike Walker, was statistically the least successful Everton manager to date. When former Everton player Joe Royle took over in 1994 the club's form started to improve; his first game in charge was a 2–0 victory over derby rivals Liverpool. Royle dragged Everton clear of relegation, leading the club to the FA Cup for the fifth time in its history, defeating Manchester United 1–0 in the final.",What year did Howard Kendall return to manage Everton?,1990,132,136
Everton_F.C.,"Everton were founder members of the Premier League in 1992, but struggled to find the right manager. Howard Kendall had returned in 1990 but could not repeat his previous success, while his successor, Mike Walker, was statistically the least successful Everton manager to date. When former Everton player Joe Royle took over in 1994 the club's form started to improve; his first game in charge was a 2–0 victory over derby rivals Liverpool. Royle dragged Everton clear of relegation, leading the club to the FA Cup for the fifth time in its history, defeating Manchester United 1–0 in the final.",Who replaced Howard Kendall as Everton's manager?,Mike Walker,201,212
Everton_F.C.,"Everton were founder members of the Premier League in 1992, but struggled to find the right manager. Howard Kendall had returned in 1990 but could not repeat his previous success, while his successor, Mike Walker, was statistically the least successful Everton manager to date. When former Everton player Joe Royle took over in 1994 the club's form started to improve; his first game in charge was a 2–0 victory over derby rivals Liverpool. Royle dragged Everton clear of relegation, leading the club to the FA Cup for the fifth time in its history, defeating Manchester United 1–0 in the final.",What was the score in the first Everton game managed by Joe Royle?,2–0,400,403
Everton_F.C.,"Everton were founder members of the Premier League in 1992, but struggled to find the right manager. Howard Kendall had returned in 1990 but could not repeat his previous success, while his successor, Mike Walker, was statistically the least successful Everton manager to date. When former Everton player Joe Royle took over in 1994 the club's form started to improve; his first game in charge was a 2–0 victory over derby rivals Liverpool. Royle dragged Everton clear of relegation, leading the club to the FA Cup for the fifth time in its history, defeating Manchester United 1–0 in the final.",What year did former Everton player Joe Royle take over managing the club?,1994,328,332
Hindu_philosophy,"Hindu philosophy refers to a group of darśanas (philosophies, world views, teachings) that emerged in ancient India. The mainstream Hindu philosophy includes six systems (ṣaḍdarśana) – Samkhya, Yoga, Nyaya, Vaisheshika, Mimamsa and Vedanta. These are also called the Astika (orthodox) philosophical traditions and are those that accept the Vedas as authoritative, important source of knowledge.[note 1][note 2] Ancient and medieval India was also the source of philosophies that share philosophical concepts but rejected the Vedas, and these have been called nāstika (heterodox or non-orthodox) Indian philosophies. Nāstika Indian philosophies include Buddhism, Jainism, Cārvāka, Ājīvika, and others.",What was the origin of Hindu philosophy?,ancient India,102,115
Hindu_philosophy,"Hindu philosophy refers to a group of darśanas (philosophies, world views, teachings) that emerged in ancient India. The mainstream Hindu philosophy includes six systems (ṣaḍdarśana) – Samkhya, Yoga, Nyaya, Vaisheshika, Mimamsa and Vedanta. These are also called the Astika (orthodox) philosophical traditions and are those that accept the Vedas as authoritative, important source of knowledge.[note 1][note 2] Ancient and medieval India was also the source of philosophies that share philosophical concepts but rejected the Vedas, and these have been called nāstika (heterodox or non-orthodox) Indian philosophies. Nāstika Indian philosophies include Buddhism, Jainism, Cārvāka, Ājīvika, and others.",How many main systems of Hindu philosophy are there?,six,158,161
Hindu_philosophy,"Hindu philosophy refers to a group of darśanas (philosophies, world views, teachings) that emerged in ancient India. The mainstream Hindu philosophy includes six systems (ṣaḍdarśana) – Samkhya, Yoga, Nyaya, Vaisheshika, Mimamsa and Vedanta. These are also called the Astika (orthodox) philosophical traditions and are those that accept the Vedas as authoritative, important source of knowledge.[note 1][note 2] Ancient and medieval India was also the source of philosophies that share philosophical concepts but rejected the Vedas, and these have been called nāstika (heterodox or non-orthodox) Indian philosophies. Nāstika Indian philosophies include Buddhism, Jainism, Cārvāka, Ājīvika, and others.",What are the main orthodox systems of Hindu philosophy called?,Astika,267,273
Hindu_philosophy,"Hindu philosophy refers to a group of darśanas (philosophies, world views, teachings) that emerged in ancient India. The mainstream Hindu philosophy includes six systems (ṣaḍdarśana) – Samkhya, Yoga, Nyaya, Vaisheshika, Mimamsa and Vedanta. These are also called the Astika (orthodox) philosophical traditions and are those that accept the Vedas as authoritative, important source of knowledge.[note 1][note 2] Ancient and medieval India was also the source of philosophies that share philosophical concepts but rejected the Vedas, and these have been called nāstika (heterodox or non-orthodox) Indian philosophies. Nāstika Indian philosophies include Buddhism, Jainism, Cārvāka, Ājīvika, and others.",What is the accepted source of knowledge in the Astika system?,Vedas,340,345
Hindu_philosophy,"Hindu philosophy refers to a group of darśanas (philosophies, world views, teachings) that emerged in ancient India. The mainstream Hindu philosophy includes six systems (ṣaḍdarśana) – Samkhya, Yoga, Nyaya, Vaisheshika, Mimamsa and Vedanta. These are also called the Astika (orthodox) philosophical traditions and are those that accept the Vedas as authoritative, important source of knowledge.[note 1][note 2] Ancient and medieval India was also the source of philosophies that share philosophical concepts but rejected the Vedas, and these have been called nāstika (heterodox or non-orthodox) Indian philosophies. Nāstika Indian philosophies include Buddhism, Jainism, Cārvāka, Ājīvika, and others.",What are the non-orthodox Indian philosophies that do not accept Vedas called?,nāstika,559,566
Hokkien,"Hokkien /hɒˈkiɛn/ (traditional Chinese: 福建話; simplified Chinese: 福建话; pinyin: Fújiànhuà; Pe̍h-ōe-jī: Hok-kiàn oē) or Quanzhang (Quanzhou–Zhangzhou / Chinchew–Changchew; BP: Zuánziū–Ziāngziū) is a group of mutually intelligible Min Nan Chinese dialects spoken throughout Southeast Asia, Taiwan, and by many other overseas Chinese. Hokkien originated from a dialect in southern Fujian. It is closely related to the Teochew, though mutual comprehension is difficult, and is somewhat more distantly related to Hainanese. Besides Hokkien, there are also other Min and Hakka dialects in Fujian province, most of which are not mutually intelligible with Hokkien.",Where did Hokkien originate?,southern Fujian.,367,383
Hokkien,"Hokkien /hɒˈkiɛn/ (traditional Chinese: 福建話; simplified Chinese: 福建话; pinyin: Fújiànhuà; Pe̍h-ōe-jī: Hok-kiàn oē) or Quanzhang (Quanzhou–Zhangzhou / Chinchew–Changchew; BP: Zuánziū–Ziāngziū) is a group of mutually intelligible Min Nan Chinese dialects spoken throughout Southeast Asia, Taiwan, and by many other overseas Chinese. Hokkien originated from a dialect in southern Fujian. It is closely related to the Teochew, though mutual comprehension is difficult, and is somewhat more distantly related to Hainanese. Besides Hokkien, there are also other Min and Hakka dialects in Fujian province, most of which are not mutually intelligible with Hokkien.",What dialect is Hokkien closely related to?,Teochew,413,420
Hokkien,"Hokkien /hɒˈkiɛn/ (traditional Chinese: 福建話; simplified Chinese: 福建话; pinyin: Fújiànhuà; Pe̍h-ōe-jī: Hok-kiàn oē) or Quanzhang (Quanzhou–Zhangzhou / Chinchew–Changchew; BP: Zuánziū–Ziāngziū) is a group of mutually intelligible Min Nan Chinese dialects spoken throughout Southeast Asia, Taiwan, and by many other overseas Chinese. Hokkien originated from a dialect in southern Fujian. It is closely related to the Teochew, though mutual comprehension is difficult, and is somewhat more distantly related to Hainanese. Besides Hokkien, there are also other Min and Hakka dialects in Fujian province, most of which are not mutually intelligible with Hokkien.",What is Hokkien?,"a group of mutually intelligible Min Nan Chinese dialects spoken throughout Southeast Asia, Taiwan, and by many other overseas Chinese.",194,329
Hokkien,"Hokkien /hɒˈkiɛn/ (traditional Chinese: 福建話; simplified Chinese: 福建话; pinyin: Fújiànhuà; Pe̍h-ōe-jī: Hok-kiàn oē) or Quanzhang (Quanzhou–Zhangzhou / Chinchew–Changchew; BP: Zuánziū–Ziāngziū) is a group of mutually intelligible Min Nan Chinese dialects spoken throughout Southeast Asia, Taiwan, and by many other overseas Chinese. Hokkien originated from a dialect in southern Fujian. It is closely related to the Teochew, though mutual comprehension is difficult, and is somewhat more distantly related to Hainanese. Besides Hokkien, there are also other Min and Hakka dialects in Fujian province, most of which are not mutually intelligible with Hokkien.",Where is Hokkien spoken?,Southeast Asia,270,284
Hokkien,"Hokkien /hɒˈkiɛn/ (traditional Chinese: 福建話; simplified Chinese: 福建话; pinyin: Fújiànhuà; Pe̍h-ōe-jī: Hok-kiàn oē) or Quanzhang (Quanzhou–Zhangzhou / Chinchew–Changchew; BP: Zuánziū–Ziāngziū) is a group of mutually intelligible Min Nan Chinese dialects spoken throughout Southeast Asia, Taiwan, and by many other overseas Chinese. Hokkien originated from a dialect in southern Fujian. It is closely related to the Teochew, though mutual comprehension is difficult, and is somewhat more distantly related to Hainanese. Besides Hokkien, there are also other Min and Hakka dialects in Fujian province, most of which are not mutually intelligible with Hokkien.",Where did Hokkien originate?,southern Fujian,367,382
Web_browser,"A web browser (commonly referred to as a browser) is a software application for retrieving, presenting, and traversing information resources on the World Wide Web. An information resource is identified by a Uniform Resource Identifier (URI/URL) and may be a web page, image, video or other piece of content. Hyperlinks present in resources enable users easily to navigate their browsers to related resources.",What do people typically call a web browser?,browser,6,13
Web_browser,"A web browser (commonly referred to as a browser) is a software application for retrieving, presenting, and traversing information resources on the World Wide Web. An information resource is identified by a Uniform Resource Identifier (URI/URL) and may be a web page, image, video or other piece of content. Hyperlinks present in resources enable users easily to navigate their browsers to related resources.",What platform is a browser used on?,World Wide Web,148,162
Web_browser,"A web browser (commonly referred to as a browser) is a software application for retrieving, presenting, and traversing information resources on the World Wide Web. An information resource is identified by a Uniform Resource Identifier (URI/URL) and may be a web page, image, video or other piece of content. Hyperlinks present in resources enable users easily to navigate their browsers to related resources.",What does URL mean?,Uniform Resource Identifier,207,234
Web_browser,"A web browser (commonly referred to as a browser) is a software application for retrieving, presenting, and traversing information resources on the World Wide Web. An information resource is identified by a Uniform Resource Identifier (URI/URL) and may be a web page, image, video or other piece of content. Hyperlinks present in resources enable users easily to navigate their browsers to related resources.",What allows a person to direct their browser to a resource?,Hyperlinks,308,318
Web_browser,"Although browsers are primarily intended to use the World Wide Web, they can also be used to access information provided by web servers in private networks or files in file systems.",The primary function of a browser is to use what?,the World Wide Web,48,66
Human_Development_Index,"The Human Development Index (HDI) is a composite statistic of life expectancy, education, and income per capita indicators, which are used to rank countries into four tiers of human development. A country scores higher HDI when the life expectancy at birth is longer, the education period is longer, and the income per capita is higher. The HDI was developed by the Pakistani economist Mahbub ul Haq, often framed in terms of whether people are able to ""be"" and ""do"" desirable things in their life, and was published by the United Nations Development Programme.",Which three statistics does the HDI compile?,"life expectancy, education, and income per capita",62,111
